"ID","SRC_ID","COMN_CD","COMN_CD_NM","SEQ","DESCRIP","DEFAT_VAL_YN","IF_VAL","USE_YN","DEL_YN","ATTR_01_VAL","ATTR_02_VAL","ATTR_03_VAL","ATTR_04_VAL","ATTR_05_VAL","ATTR_06_VAL","ATTR_07_VAL","ATTR_08_VAL","ATTR_09_VAL","ATTR_10_VAL","CREATE_BY","CREATE_DTTM","MODIFY_BY","MODIFY_DTTM"
FA24EBE0FE2B40DFAD3CAD3C2A07FB00,F26BBF7B4EDC49DB809CCFF257D6CBB5,IMRP,IM/RP,1,COMN_CODE_DESCRIP_PO_PLAN_MODULE_IMRP,N,N,Y,N,,,,,,,,,,,admin,1970-01-01 00:00:00.000,,
FA5547C418A6446D89D6534B83ACDBA0,"077D870F991D4A9DB63FE75360E8D6F5",RULE_LATEST_END_DATE,Latest End,14,Prefer activities with later end time.,N,,Y,N,,,,,,,,,,,SYSTEM,1970-01-01 00:00:00.000,,
FACC9B58BF4C4BB7850F69F0DA6E2122,"077D870F991D4A9DB63FE75360E8D6F5",RULE_EARLIEST_END_DATE,Earliest End,12,Prefer activities with earlier end time.,N,,Y,N,,,,,,,,,,,SYSTEM,1970-01-01 00:00:00.000,,
FB962E3121A54C2F973CB0E4CB6F19F0,"3684433E04E4414281A0FB8409E02088",TCCM_02,Avg of Vehicles in 1st Priority Location,2,COMN_GRP_DESCRIP_TCCM_02,N,,Y,N,"",,,,,,,,,,admin,1970-01-01 00:00:00.000,admin,2022-09-01 13:02:32.810
FBF76A01D5154ED7A6327FCBA87EE52B,"964FA8DB39F84603A0D91A21BD82F7AB","1/4","1/4",1,COMN_CODE_DESCRIP_QUADRANT_1/4,N,N,Y,N,,,,,,,,,,,admin,1970-01-01 00:00:00.000,roh,2019-10-01 14:04:40.353
FC4A493BFC75416699441BAC7BBAD3CD,D4296104785949A884E5E6620304FA8C,PHP,Philippine Peso,37,COMN_CODE_DESCRIP_CURRENCY_PHP,N,N,N,N,PH,,,,,,,,,,admin,1970-01-01 00:00:00.000,,
FC98ED4671D046249AD55A51E127E47E,"43C6CED2B5A34CE388C50151BE6A0295",C,Customer,3,COMN_CODE_DESCRIP_LEVEL_TYPE_C,N,N,Y,N,,,,,,,,,,,admin,1970-01-01 00:00:00.000,,
FCBEC8B657354AD499D3BD90D7C4494A,"964FA8DB39F84603A0D91A21BD82F7AB","4/4","4/4",4,COMN_CODE_DESCRIP_QUADRANT_4/4,N,N,Y,N,,,,,,,,,,,admin,1970-01-01 00:00:00.000,,
FCF4ED0C2F464199A67C3E9FC6C3DD2D,"14204579E3B847DAAB5D55FABC374657",WEEKLY,Weekly,1,COMN_CODE_DESCRIP_PERIOD_CAPA_WEEKLY,N,N,Y,N,,,,,,,,,,,admin,1970-01-01 00:00:00.000,,
FD2E0C61984A42FD909385E879E8369D,"14204579E3B847DAAB5D55FABC374657",MONTHLY,Monthly,2,COMN_CODE_DESCRIP_PERIOD_CAPA_MONTHLY,N,N,Y,N,,,,,,,,,,,admin,1970-01-01 00:00:00.000,,
FD81B6F371D341B0BDBEAC3BC3BF81DA,D4296104785949A884E5E6620304FA8C,ATS,Schilling,2,COMN_CODE_DESCRIP_CURRENCY_ATS,N,N,N,N,AT,,,,,,,,,,admin,1970-01-01 00:00:00.000,,
FDCB41904FCE4D14A9E67543E9BAB571,"10CBC2CDE62140C9918FC0D67D22D497",CM,Supply Chain Model,1,COMN_CODE_DESCRIP_MODULE_TP_CM,N,N,Y,N,,,,,,,,,,,admin,1970-01-01 00:00:00.000,,
FDD9015546124D0992D1AD4E37A2D19F,"7896B2A17FCE48E594C3242F7DD05A51",FP_DATE_FORMAT,FP_DATE_FORMAT,2,COMN_CODE_DESCRIP_FP_VERSION_NAMING_FP_DATE_FORMAT,N,,Y,N,,,,,,,,,,,SYSTEM,1970-01-01 00:00:00.000,,
FDDC568F795B4683A1376254D9636743,BE8E7665031B417C91DD75318AB34012,THIS_MONTH,This Month,4,COMN_CODE_DESCRIP_START_DATE_TP_THIS_MONTH,N,N,Y,N,,,,,,,,,,,admin,1970-01-01 00:00:00.000,,
FEF70DE50CE248B2B6998CA07F310D9D,"514350EAFEF343CC8EAEEF9560AA8D1B",NOR_DIST,Nor. Dist,2,COMN_CODE_DESCRIP_SS_CAL_MTD_NOR_DIST,N,N,Y,N,,,,,,,,,,,admin,1970-01-01 00:00:00.000,,
FFCFAD7620214BC0B7551F172A0E6ED9,"2DCF9FFAB03B4E1EB0A1041051272686",GROUP-ROWS,group-rows,5,COMN_CODE_DESCRIP_CROSSTAB_ITEM_GROUP-ROWS,N,N,Y,N,group-rows,,,,,,,,,,admin,1970-01-01 00:00:00.000,,
